category,old_name,new_name,title,description,media_type
beach,20161205_084013.jpg,shorebirds-lifting-off.jpg,Shorebirds lifting off,"A flock of gulls and skimmers rising together off a wide flat beach, pale surf and a soft overcast sky behind them.",image
beach,20171214_063848.jpg,palms-and-crescent-moon.jpg,Palms and crescent moon,"Coconut palms silhouetted against a graded dawn sky, a thin crescent moon hanging above them and orange light along the sea horizon.",image
beach,IMG_20171214_070034_099.jpg,palms-at-first-light.jpg,Palms at first light,"The same stand of palms held against a violet-to-amber dawn, the crescent moon high and the ocean just catching the first light.",image
beach,20171217_080520.jpg,bottle-on-the-tideline.jpg,Bottle on the tideline,"A green glass bottle lying half-buried in wet sand at the tideline, sun bursting through broken cloud over the breaking surf.",image
beach,20200214_181007.jpg,beachfront-tower-at-dusk.jpg,Beachfront tower at dusk,"A lit beachfront tower standing over an empty shoreline at dusk, the last band of orange still burning along the horizon.",image
beach,20210708_063037.jpg,sargassum-at-sunrise.jpg,Sargassum at sunrise,"Thick brown sargassum banked along the waterline at sunrise, the sun a soft disc behind haze and boats sitting far offshore.",image
beach,20240706_085724.jpg,ringed-planet-over-the-shore.jpg,Ringed planet over the shore,"A composited scene: an empty beach and grey-blue sea with a vast ringed planet hanging low in the sky at the left of the frame.",image
beach,20241116_163844.jpg,palm-headland-in-gold-light.jpg,Palm headland,"A rocky headland crowded with coconut palms catching low gold light, waves folding onto the sand in the foreground.",image
beach,20241116_163857.jpg,palm-shadows-on-the-sand.jpg,Palm shadows,"Long palm shadows thrown across wet sand toward the camera, the green headland and its fringe of trees lit warm beyond.",image
beach,20241116_191317.jpg,moonlight-through-the-clouds.jpg,Moonlight through the clouds,"The moon burning through a torn layer of night cloud, its light laid out in a broken silver path across the sea below.",image
beach,20241116_191332.jpg,resort-pool-under-the-moon.jpg,Pool under the moon,"A lit turquoise pool glowing among dark palms at night, the moon breaking through cloud over the black sea beyond.",image
beach,20241117_061241.jpg,pool-and-palms-at-first-light.jpg,Pool and palms at first light,"A resort pool and dense palm grove seen from above at dawn, storm cloud stacked over the ocean and the first orange light on the horizon.",image
beach,20241117_081643.jpg,cumulus-over-the-palm-coast.jpg,Cumulus over the palm coast,"Towering white cumulus piled over a palm-lined shore, surf running up a narrow strip of dark sand.",image
beach,20241117_081753.jpg,coconut-on-the-wet-sand.jpg,Coconut on the sand,"A fallen coconut resting on wet sand in the foreground, the beach curving away past leaning palms under heavy cloud.",image
beach,20241117_171549.jpg,red-roofs-below-the-treeline.jpg,Red roofs below the treeline,"Red-tiled roofs scattered through dense green canopy, the sea and a bank of evening cloud stretching along the far horizon.",image
beach,20241117_171557.jpg,tennis-courts-in-the-green.jpg,Courts in the green,"Blue tennis courts set into thick tropical greenery, palms and manicured lawn in the foreground and low hills fading behind.",image
beach,20241117_180717.jpg,grey-dusk-on-the-shore.jpg,Grey dusk,"A muted dusk over a quiet beach, layered grey and mauve cloud above dark water and a low rocky point to the left.",image
beach,20241118_114740.jpg,foam-below-the-headland.jpg,Foam below the headland,"White foam spreading across dark sand below a steep green headland, sea grape leaves crowding into the near frame.",image
beach,20241118_114802.jpg,sea-grape-cove.jpg,Sea grape cove,"A small cove enclosed by a wooded headland, surf washing in over brown sand with sea grape and cactus on the bank above.",image
beach,20241118_224023.jpg,moonlit-clouds-over-the-resort.jpg,Moonlit clouds,"Heavy moonlit cloud filling the night sky above a resort, lit pools and palms glowing far below against the black sea.",image
beach,20241118_224207.jpg,moon-behind-the-cloud-bank.jpg,Behind the cloud bank,"The moon diffused behind a dense bank of night cloud, a faint silver track running across the water at the bottom of the frame.",image
beach,20241119_092059.jpg,morning-light-along-the-curve.jpg,Morning light along the curve,"Bright morning sun over a curving beach, clear turquoise shallows on the left and a palm-covered point closing the bay.",image
beach,20241119_092107.jpg,sun-through-the-palm-crowns.jpg,Sun through the palms,"The sun flaring in a hard star through overhanging palm crowns, wet sand and gentle surf running along the shore below.",image
beach,20241125_170825.jpg,autumn-lake-at-golden-hour.jpg,Autumn lake,"Gold and rust autumn trees standing over a flat lake at golden hour, cloud and colour doubled exactly in the still water.",image
beach,20250707_061038.jpg,miami-beach-before-sunrise.jpg,Before sunrise,"Hotel towers and lit streets along a city beachfront before sunrise, the ocean pale and calm out to a soft pink horizon.",image
beach,20250708_112022.jpg,everglades-channel-at-midday.jpg,Everglades channel,"A wide channel of dark water running between low green banks and sawgrass under bright midday cumulus.",image
beach,20260404_004806.jpg,boardwalk-under-a-full-moon.jpg,Boardwalk under a full moon,"A wooden boardwalk running down to an empty beach under a full moon, its light laid in a bright column across the sea.",image
beach,20260404_064454.jpg,pink-dawn-over-the-strand.jpg,Pink dawn,"A broad hard-packed beach at dawn, pink and violet cloud spread across the sky and condo towers receding into haze on the left.",image
beach,20260404_064916.jpg,sunrise-on-the-wet-sand.jpg,Sunrise on wet sand,"Orange dawn light reflected in a sheet of water left on the flat sand, distant walkers scattered along the empty shore.",image
beach,20260404_064935.mp4,dawn-surf-rolling-in.mp4,Dawn surf,"A slow hold on low dawn surf rolling up a wide flat beach, pastel cloud lying along the horizon behind it.",video
beach,20260404_065028.jpg,walkers-at-sunrise.jpg,Walkers at sunrise,"A vivid orange and gold sunrise over the breakers, a few early walkers silhouetted along the wet sand.",image
beach,20260404_065754.mp4,quiet-dawn-at-the-waterline.mp4,Quiet dawn,"A steady view along the waterline at first light, muted cloud overhead and thin surf sliding over the packed sand.",video
beach,20260404_065942.jpg,sunrise-over-the-breakers.jpg,Sunrise over the breakers,"The sun sitting half-risen on the horizon in a deep orange sky, its light running in a broken line across the incoming surf.",image
beach,20260404_110223.jpg,midday-surf-under-cirrus.jpg,Midday surf,"Bright midday surf breaking in clean lines onto pale sand, thin cirrus streaking a hard blue sky above.",image
beach,20260706_155406.jpg,lone-tree-above-the-rocks.jpg,Lone tree above the rocks,"A single broad-crowned tree standing on clipped lawn above a rocky shoreline, the sea flat and grey under heavy overcast.",image
beach,20260707_174128.jpg,palapa-in-the-late-sun.jpg,Palapa in the late sun,"A thatched palapa and empty loungers on white sand, palms leaning over a calm turquoise bay in hazy late sun.",image
beach,20260707_174632.jpg,loungers-facing-the-sun.jpg,Loungers facing the sun,"Blue loungers lined up on the sand facing a low sun, its light spread in a wide sheet across the shallow bay.",image
beach,20260707_175221.jpg,soft-sun-over-the-shallows.jpg,Soft sun over the shallows,"The sun diffused behind thin cloud above a shallow turquoise bay, low villas and palms sitting along the far point.",image
beach,20260707_175242.jpg,villas-along-the-point.jpg,Villas along the point,"White villas and palms strung along a low point enclosing a calm bay, the sun burning through cloud out over open water.",image
beach,20260707_175718.jpg,golden-hour-beach-volleyball-net.jpg,Golden hour volleyball,"Sun low over the water with loungers and a volleyball net standing on empty sand, palm fronds framing the top of the frame.",image
beach,20260707_183906.mp4,sun-sinking-over-the-reef.mp4,Sinking over the reef,"A long hold as the sun drops toward the horizon, its gold path rippling across water breaking gently over a low reef.",video
beach,20260707_184604.mp4,sunset-behind-the-buoy-line.mp4,Behind the buoy line,"The sun setting beyond a line of white marker buoys, the sea turning from gold to pewter as the light goes.",video
beach,20260707_190424.jpg,pink-dusk-over-the-bay.jpg,Pink dusk,"Pink and grey dusk cloud over a calm bay, lit villas along the shore and the last colour fading behind a low headland.",image
beach,20260708_140401.jpg,catamaran-off-the-white-sand.jpg,Catamaran offshore,"A brightly painted catamaran anchored in vivid turquoise water off a long white beach, palms crowding the shoreline behind.",image
beach,20260708_140415.jpg,swimmers-in-the-shallows.jpg,Swimmers in the shallows,"Swimmers and small boats scattered across clear turquoise shallows, a marker line of floats running out from the pale sand.",image
beach,20260708_143543.jpg,green-hills-from-the-water.jpg,Green hills from the water,"A palm-fringed shoreline seen from offshore, forested hills rising behind it under a flat grey sky.",image
