category,old_name,new_name,title,description,media_type
about,jonik-cannon-portrait.jpg,jonik-cannon-portrait.jpg,Jonik Cannon,"A three-frame portrait of the photographer in a dark suit and tie, shot against the pale angled walls of a gallery interior.",image
about,earth-from-space.jpg,earth-from-space.jpg,Earth from space,"The blue curve of Earth with the moon above it and the sun flaring past the limb, against a dense starfield.",image
about,20220706_152306.jpg,portrait-in-the-green-hills.jpg,In the green hills,"The photographer in aviator sunglasses, close to camera, with cleared farmland and low green mountains stretching out behind under a heavy grey sky.",image
about,20240223_164944.jpg,red-bellied-woodpecker-in-winter.jpg,Red-bellied woodpecker,"A red-bellied woodpecker gripping a bare winter branch, its barred black-and-white back and scarlet crown bright against the tangle of grey twigs.",image
about,20240521_172214.jpg,two-turtles-in-green-water.jpg,Two turtles,"A pair of pond turtles drifting through murky green water, shells patterned in amber and olive, ripples spreading around them.",image
about,20240525_004425.jpg,full-moon-in-a-black-sky.jpg,Full moon,"A full moon isolated against an entirely black sky, craters and maria picked out in soft grey.",image
about,20240529_175350.jpg,armadillo-in-the-leaf-litter.jpg,Armadillo foraging,"A nine-banded armadillo nosing through dry leaf litter at the edge of green undergrowth, its banded shell and tail catching the light.",image
about,20250113_203240.jpg,full-moon-close-up.jpg,Full moon close up,"A tighter frame on the full moon, its seas and crater fields clearly separated across the disc.",image
about,IMG_20180907_152350_367.jpg,capuchin-on-the-shoulder.jpg,Capuchin on the shoulder,"A capuchin monkey perched on the photographer's shoulder on a palm-lined beach, both looking toward the camera under a hard blue sky.",image
about,IMG_20190328_115202_685.jpg,capuchin-and-palms.jpg,Capuchin and palms,"A capuchin monkey reaching up from the photographer's arm, leaning palms and turquoise surf filling the background.",image
about,IMG_20210708_062604_816.jpg,poolside-lantern-at-night.jpg,Poolside lantern,"A glowing dome lantern on a dark deck at night, palm fronds lit behind it and a bottle standing on the boards alongside.",image
