category,old_name,new_name,title,description,media_type
nature,20180506_123017.jpg,mossy-cascade-in-green-forest.jpg,Mossy cascade,"Water slides down a moss-covered rock face in deep forest shade, a bright clump of green undergrowth clinging to the ledge beside it.",image
nature,20201121_144925.jpg,canyon-walls-in-late-light.jpg,Canyon walls in late light,"Layered canyon cliffs catching low sun, scrub clinging to the terraces and deep shadow filling the gorge below.",image
nature,20220212_073155.jpg,winter-lake-mirror.jpg,Winter lake mirror,"A still winter lake holding a near-perfect reflection of the clouds, framed by bare branches and a far bank of dry reeds.",image
nature,20230218_141905.jpg,spanish-moss-over-blackwater.jpg,Spanish moss over blackwater,"Spanish moss hangs in long grey curtains from bare limbs leaning over a dark, slow river under a bright blue sky.",image
nature,20240507_171314.jpg,still-lake-in-summer-woods.jpg,Still lake in summer woods,"A quiet lake ringed by full summer green, the treeline doubled almost exactly in the glassy surface.",image
nature,20240522_165316.jpg,river-bend-and-grassy-bank.jpg,River bend,"A slow river curving past a red clay bank and rock ledge, tall grass and wildflowers filling the foreground slope.",image
nature,20240522_165337.jpg,river-below-the-meadow-slope.jpg,Below the meadow slope,"The same river seen from higher on a mown meadow slope, woodland crowding the far bank under stacked cumulus.",image
nature,20240523_164728.jpg,cairn-on-the-granite-flat.jpg,Cairn on the granite flat,"A stacked stone cairn standing on a broad granite outcrop, towering cumulus building over the treeline behind.",image
nature,20240523_173519.jpg,creek-steps-through-the-woods.jpg,Creek steps,"A woodland creek dropping through a series of low rock shelves, boulders and leaf litter crowding both banks in dappled light.",image
nature,20240523_173529.jpg,waterfall-beneath-bare-roots.jpg,Beneath the roots,"A small waterfall spilling over a rock lip directly below a tangle of exposed tree roots, water smoothing to glass in the pool beneath.",image
nature,20240524_160938.jpg,clouds-mirrored-from-the-dock.jpg,Mirrored from the dock,"Cumulus clouds reflected whole in a still pond, the weathered top rail of a dock running across the bottom of the frame.",image
nature,20240524_160945.jpg,cloud-reflections-on-still-water.jpg,Cloud reflections,"A wide bank of summer cloud doubled in the flat surface of a wooded pond, treeline meeting its own reflection at the far shore.",image
nature,20240528_175811.jpg,granite-slab-above-brown-water.jpg,Granite slab,"A broad granite slab in the foreground drops away to a churning, silt-brown river, a bleached deadfall caught midstream.",image
nature,20240528_180018.jpg,sun-through-the-creekside-canopy.jpg,Sun through the canopy,"Sun bursts through creekside trees in a hard star, water running shallow over rock ledges toward the camera.",image
nature,20240529_185514.jpg,mackerel-sky-over-the-outcrop.jpg,Mackerel sky,"A rippled mackerel sky spread over a bare granite outcrop, the sun burning through a thin gap near the horizon.",image
nature,20240529_185726.jpg,cairn-against-the-sun.jpg,Cairn against the sun,"A stacked stone cairn silhouetted on open rock with the sun directly behind it, scattered cloud running to the treeline.",image
nature,20240708_161659.mp4,niagara-falls-from-the-water.mp4,Niagara from the water,"A boat-level pass along the base of the falls, the full width of the cataract pouring into churning green water and spray.",video
nature,20240708_161704.jpg,american-falls-in-mist.jpg,American Falls in mist,"The falls seen from water level, a wall of white water dropping onto tumbled boulders with mist rising across the frame.",image
nature,20240708_163052.jpg,cascade-into-the-green-gorge.jpg,Cascade into the gorge,"A broad cascade spilling from a layered limestone cliff into vivid turquoise water, green canopy leaning in from above.",image
nature,20240708_164933.jpg,sparrow-above-the-gorge.jpg,Sparrow above the gorge,"A small sparrow perched on a limestone outcrop in the foreground, the turquoise river and far tourist shoreline soft behind it.",image
nature,20240708_165535.jpg,niagara-falls-panorama.jpg,Niagara panorama,"The full sweep of the falls from the overlook, spray columns rising between the two cataracts and a tour boat crossing the green water below.",image
nature,20241117_061247.jpg,resort-pool-at-dusk.jpg,Resort pool at dusk,"A lit resort pool and palm groves seen from above at dusk, the ocean and a band of sunset cloud stretching along the horizon.",image
nature,20241125_170814.jpg,autumn-reflections-on-the-lake.jpg,Autumn reflections,"Gold and rust autumn trees doubled in a flat lake, warm evening cloud drifting across the reflected sky.",image
nature,20241230_153413.jpg,winter-cairn-by-the-path.jpg,Winter cairn,"A carefully stacked cairn of lichen-mottled stones on leaf litter beside a paved path, bare winter woods rising behind.",image
nature,20250203_170804.jpg,winter-river-from-the-bridge.jpg,Winter river,"A river seen from a bridge in low winter light, bare trees crowding steep clay banks and a sandbar catching the last sun.",image
nature,20250312_190641.jpg,white-barn-at-sundown.jpg,White barn at sundown,"A white barn sitting alone at the far edge of a wide green pasture, the sun dropping through bare trees on the right.",image
nature,20250312_192224.jpg,spring-cascade-over-rock-shelves.jpg,Spring cascade,"A creek in early spring running white over a staircase of broad rock shelves, bare grey trunks rising from both banks.",image
nature,20250321_163047.jpg,red-moss-on-sunlit-granite.jpg,Red moss on granite,"Hard midday sun over a bare granite outcrop scattered with loose stone and patches of red moss, pines low on the horizon.",image
nature,20250409_174259.jpg,river-gorge-below-the-ridge.jpg,River gorge,"A shallow river winding through a sandy gorge, spring green on both slopes and a house perched on the ridge above.",image
nature,20250409_180344.jpg,spring-green-along-the-river.jpg,Spring green,"A wide river running between steep banks in full spring leaf, red clay and sand exposed along the waterline.",image
nature,20250413_172812.jpg,red-tailed-hawk-in-the-branches.jpg,Red-tailed hawk,"A red-tailed hawk gripping a branch and staring straight down at the camera, pale barred breast bright against green leaves and blue sky.",image
nature,20250506_173328.jpg,mackerel-clouds-over-bare-rock.jpg,Mackerel clouds,"A dense mackerel sky stretched over a wide granite flat, the sun flaring at the upper right above a distant treeline.",image
nature,20250601_095819.jpg,lily-pads-on-the-still-pond.jpg,Lily pads,"A pond blanketed in lily pads and duckweed, a clump of rushes standing in the foreground and pines crowding the far bank.",image
nature,20250610_231835.jpg,full-moon-through-haze.jpg,Full moon through haze,"A full moon glowing warm through thin haze, its craters softened and a faint halo bleeding into the black sky.",image
nature,20250616_173946.jpg,narrow-creek-in-deep-green.jpg,Narrow creek,"A narrow creek running over pale stones through dense summer woods, exposed roots gripping the undercut banks.",image
nature,20250708_112057.jpg,sawgrass-island-on-open-water.jpg,Sawgrass island,"A low island of sawgrass sitting in open water under a bright blue sky and scattered fair-weather cloud.",image
nature,20250708_112448.jpg,everglades-canal-under-clouds.jpg,Canal under clouds,"A straight canal running to the horizon between a wooded bank and open sawgrass, transmission towers marching into the distance.",image
