category,old_name,new_name,title,description,media_type
aerial,DJI_20260612065134_0007_D.JPG,sunburst-over-wooded-neighborhood.jpg,Sunburst over the treeline,"Late-day sun flares over a dense green treeline, with a single house visible in a clearing beyond the pines.",image
aerial,DJI_20260612065136_0008_D.JPG,house-in-the-clearing.jpg,House in the clearing,"A wooded suburban lot from above: a long driveway cuts through the pines to a house set in a mown clearing, sun breaking through scattered cloud.",image
aerial,DJI_20260612065453_0010_D.JPG,summer-canopy-and-rooftops.jpg,Summer canopy and rooftops,"Rolling hardwood canopy in full summer green, rooftops tucked into the trees and a low band of cumulus on the far horizon.",image
aerial,DJI_20260614034733_0018_D.JPG,blue-lake-beyond-the-meadow.jpg,Blue lake beyond the meadow,"A deep blue lake ringed by pine and hardwood, with a dirt track running down through an open green meadow in the foreground.",image
aerial,dji_fly_20260709_092240_0032_1783650435377_photo_beautify.jpg,resort-bay-and-breakwater.jpg,Resort bay and breakwater,"A Caribbean resort bay from altitude: white low-rise buildings and a curved pool along the sand, a rock breakwater sheltering pale turquoise shallows against deep open blue.",image
aerial,DJI_20260513185902_0010_D.MP4,granite-outcrop-at-golden-hour.mp4,Granite outcrop at golden hour,"Low orbit over a bare granite outcrop streaked with lichen, a lone figure standing at its center and unbroken forest running to the horizon in the evening light.",video
aerial,DJI_20260614034357_0015_D.MP4,pine-lake-and-meadow-flyover.mp4,Pine lake and meadow,"Slow push out over a grassy meadow and dirt track toward a lake held in pine woods, fair-weather cumulus stacked overhead.",video
aerial,DJI_20260614034613_0017_D.MP4,forest-lake-panorama.mp4,Forest lake panorama,"A wide, steady pass above a forest-rimmed lake, its dark water reflecting the sky as wooded ridges roll away toward distant rooftops.",video
aerial,DJI_20260614034750_0019_D.MP4,lake-and-rolling-woodland.mp4,Lake and rolling woodland,"High flyover of a lake set in deep woodland, with a neighborhood visible along the far ridgeline under a bright, cloud-dotted sky.",video
aerial,dji_fly_20260708_080954_0021_1783650462088_video.mp4,resort-pool-morning-sun.mp4,Resort pool in morning sun,"Morning sun sits low over a large resort pool, palms throwing long shadows across the deck as the camera drifts out toward the sea.",video
aerial,dji_fly_20260708_081332_0025_1783650457723_slowmotion.mp4,turquoise-cove-and-palms.mp4,Turquoise cove and palms,"Slow-motion glide past palm crowns into a sheltered turquoise cove, white villas lining the sand and a swim line marking the calm water.",video
aerial,dji_fly_20260709_091900_0026_1783650454489_slowmotion.mp4,surf-on-the-rocky-shoreline.mp4,Surf on the rocky shoreline,"Slow-motion run along a rugged shoreline where surf breaks white over black rock, a stone seawall and palm-lined path separating it from the resort grounds.",video
aerial,dji_fly_20260709_091946_0027_1783650449096_slowmotion.mp4,poolside-peninsula.mp4,Poolside peninsula,"Slow-motion pull back from a resort pool and thatched umbrellas across a low peninsula, deep blue water stretching to a hazy headland.",video
aerial,dji_fly_20260709_092134_0029_1783650445680_slowmotion.mp4,domed-resort-and-curved-pool.mp4,Domed resort and curved pool,"Slow-motion sweep across a domed white resort building and its curving turquoise pool, then out over open ocean toward green hills.",video
aerial,dji_fly_20260709_092156_0030_1783650441716_slowmotion.mp4,rocky-point-and-hillside-resort.mp4,Rocky point and hillside resort,"Slow-motion arc around a rocky point where waves wash the shelf below a clock-towered resort building, forested hills rising behind.",video
aerial,dji_fly_20260709_092220_0031_1783650435421_slowmotion.mp4,umbrella-lined-pool-and-coastline.mp4,Umbrella-lined pool and coastline,"Slow-motion hold above rows of thatched umbrellas and a broad turquoise pool, the coastline curving away into blue haze.",video
